Date,Domanda,Offerta,deltalog,delta,Z-score
2017-02-13,0.05605518168169745,0.8161937956800533,0.5422025508690367,0.7601386139983559,1.1128349595835307
2017-02-14,0.07964507063941179,1.078365136110616,0.6549492435789617,0.9987200654712041,1.423132655198564
2017-02-15,0.064229895676945,1.2391305807142627,0.7438362219680876,1.1749006850373178,1.6677644390797162
2017-02-16,0.06376276916293085,1.115464854096073,0.6874621727720114,1.0517020849331422,1.5126136569362758
2017-02-17,0.053018859340605504,0.8359803119389637,0.5559174256995192,0.7829614525983583,1.15058058167904
2017-02-18,0.05418667562564087,0.6455350929469513,0.44529606975400227,0.5913484173213105,0.8461321671786063
2017-02-19,0.05278529608359843,0.697474698126591,0.47770235995957316,0.6446894020429926,0.9353196806437839
2017-02-20,0.05979219379381061,0.8434002555360551,0.553538985885384,0.7836080617422445,1.1440347187739168
2017-02-21,0.05605518168169745,0.9522260949600623,0.6144298693203301,0.8961709132783648,1.311616581795289
2017-02-22,0.06259495287789549,0.9472794658953346,0.605719267521172,0.8846845130174391,1.287643553400985
2017-02-23,0.06913472407409352,0.8631867717949655,0.5554386876042265,0.794052047720872,1.1492630146249478
